",""IdLandkreis"",""Altersgruppe"",""Geschlecht"",""Meldedatum"",""Refdatum"",""IstErkrankungsbeginn"",""NeuerFall"",""NeuerTodesfall"",""NeuGenesen"",""AnzahlFall"",""AnzahlTodesfall"",""AnzahlGenesen"""
"192,9162,""A35-A59"",""M"",2022-01-30,2021-01-24,1,0,-9,0,2,0,2"
"193,9162,""A05-A14"",""M"",2022-02-01,2021-01-24,1,0,-9,0,1,0,1"
"194,9162,""A35-A59"",""M"",2022-02-01,2021-01-24,1,0,-9,0,1,0,1"
"195,9162,""A35-A59"",""M"",2022-01-25,2021-01-24,1,0,-9,0,1,0,1"
"196,9162,""A15-A34"",""M"",2022-01-25,2021-01-24,1,0,-9,0,1,0,1"
"197,9162,""A35-A59"",""M"",2022-01-26,2021-01-24,1,0,-9,0,2,0,2"
"198,9162,""A35-A59"",""M"",2022-01-29,2021-01-24,1,0,-9,0,1,0,1"
"199,9162,""A35-A59"",""M"",2022-01-20,2021-01-24,1,0,-9,0,1,0,1"
"200,9162,""A60-A79"",""M"",2022-01-30,2021-01-24,1,0,-9,0,1,0,1"
"201,9162,""A35-A59"",""M"",2022-01-28,2021-01-24,1,0,-9,0,1,0,1"
"202,9162,""A15-A34"",""M"",2022-01-27,2021-01-24,1,0,-9,0,2,0,2"
"203,9162,""A35-A59"",""M"",2022-01-30,2021-01-25,1,0,-9,0,4,0,4"
"204,9162,""A35-A59"",""M"",2022-01-28,2021-01-25,1,0,-9,0,1,0,1"
"205,9162,""A35-A59"",""M"",2022-01-26,2021-01-25,1,0,-9,0,1,0,1"
"206,9162,""A35-A59"",""M"",2022-02-03,2021-01-25,1,0,-9,0,1,0,1"
"207,9162,""A05-A14"",""M"",2022-01-30,2021-01-25,1,0,-9,0,2,0,2"
"208,9162,""A15-A34"",""M"",2022-01-30,2021-01-25,1,0,-9,0,2,0,2"
"209,9162,""A35-A59"",""M"",2022-01-27,2021-01-25,1,0,-9,0,2,0,2"
"210,9162,""A15-A34"",""M"",2022-02-01,2021-01-26,1,0,-9,0,2,0,2"
"211,9162,""A35-A59"",""M"",2022-01-29,2021-01-26,1,0,-9,0,1,0,1"
"212,9162,""A15-A34"",""M"",2022-01-29,2021-01-26,1,0,-9,0,1,0,1"
"213,9162,""A35-A59"",""M"",2022-01-30,2021-01-26,1,0,-9,0,1,0,1"
"214,9162,""A15-A34"",""M"",2022-01-31,2021-01-26,1,0,-9,0,1,0,1"
"215,9162,""A35-A59"",""M"",2022-01-28,2021-01-26,1,0,-9,0,2,0,2"
"216,9162,""A35-A59"",""M"",2022-01-31,2021-01-26,1,0,-9,0,1,0,1"
"217,9162,""A35-A59"",""M"",2022-01-31,2021-01-27,1,0,-9,0,2,0,2"
"218,9162,""A00-A04"",""M"",2022-01-30,2021-01-27,1,0,-9,0,1,0,1"
"219,9162,""A15-A34"",""M"",2022-01-27,2021-01-27,1,0,-9,0,1,0,1"
"220,9162,""A35-A59"",""M"",2022-01-28,2021-01-27,1,0,-9,0,1,0,1"
"221,9162,""A15-A34"",""M"",2022-01-31,2021-01-27,1,0,-9,0,2,0,2"
"222,9162,""A35-A59"",""M"",2022-01-29,2021-01-27,1,0,-9,0,1,0,1"
